"","X","ID_SOCIETE","NOM_SOCIETE","TYPE_SOC","FUSION","FAILLITE","CREATION","ID_CA","ID_BRANCHE","ANNEE","Ch_Aff","NOM_BRANCHE","PRESTATION"
"1",1,"S1","SAFA","NON VIE","non","oui",1995,"CA1","B1",2003,"263442492","ACCIDENTS CORPORELS",2529580
"2",1,"S1","SAFA","NON VIE","non","oui",1995,"CA2","B1",2004,"72631328","ACCIDENTS CORPORELS",0
"3",1,"S1","SAFA","NON VIE","non","oui",1995,"CA3","B1",2005,"234281956","ACCIDENTS CORPORELS",33422148
"4",1,"S1","SAFA","NON VIE","non","oui",1995,"CA4","B1",2006,"313178395","ACCIDENTS CORPORELS",71587160
"5",1,"S1","SAFA","NON VIE","non","oui",1995,"CA5","B1",2007,"343940571","ACCIDENTS CORPORELS",-26678655
"6",1,"S1","SAFA","NON VIE","non","oui",1995,"CA6","B1",2008,"662467181","ACCIDENTS CORPORELS",662467181
"7",1,"S1","SAFA","NON VIE","non","oui",1995,"CA7","B1",2009,"359994723","ACCIDENTS CORPORELS",159026662
"8",1,"S1","SAFA","NON VIE","non","oui",1995,"CA8","B1",2010,"413881076","ACCIDENTS CORPORELS",175946607
"9",1,"S1","SAFA","NON VIE","non","oui",1995,"CA9","B1",2011,"184393536","ACCIDENTS CORPORELS",146477972
"10",1,"S1","SAFA","NON VIE","non","oui",1995,"CA10","B1",2012,"402973411","ACCIDENTS CORPORELS",NA
"11",1,"S1","SAFA","NON VIE","non","oui",1995,"CA11","B1",2013,"397911196","ACCIDENTS CORPORELS",NA
"12",1,"S1","SAFA","NON VIE","non","oui",1995,"CA12","B1",2014,"-769696807","ACCIDENTS CORPORELS",NA
"13",1,"S1","SAFA","NON VIE","non","oui",1995,"CA13","B1",2015,"575125522","ACCIDENTS CORPORELS",NA
"14",1,"S1","SAFA","NON VIE","non","oui",1995,"CA14","B1",2016,"697815112","ACCIDENTS CORPORELS",NA
"15",1,"S1","SAFA","NON VIE","non","oui",1995,"CA18","B2",2003,"2915641799","AUTOMOBILE",NA
"16",1,"S1","SAFA","NON VIE","non","oui",1995,"CA19","B2",2004,"2959230076","AUTOMOBILE",NA
"17",1,"S1","SAFA","NON VIE","non","oui",1995,"CA20","B2",2005,"2121306113","AUTOMOBILE",NA
"18",1,"S1","SAFA","NON VIE","non","oui",1995,"CA21","B2",2006,"1917308891","AUTOMOBILE",NA
"19",1,"S1","SAFA","NON VIE","non","oui",1995,"CA22","B2",2007,"1768372981","AUTOMOBILE",-92546893
"20",1,"S1","SAFA","NON VIE","non","oui",1995,"CA23","B2",2008,"1640513477","AUTOMOBILE",1640513477
"21",1,"S1","SAFA","NON VIE","non","oui",1995,"CA24","B2",2009,"1905621348","AUTOMOBILE",NA
"22",1,"S1","SAFA","NON VIE","non","oui",1995,"CA25","B2",2010,"1747093870","AUTOMOBILE",NA
"23",1,"S1","SAFA","NON VIE","non","oui",1995,"CA26","B2",2011,"1552627912","AUTOMOBILE",NA
"24",1,"S1","SAFA","NON VIE","non","oui",1995,"CA27","B2",2012,"1620940646","AUTOMOBILE",NA
"25",1,"S1","SAFA","NON VIE","non","oui",1995,"CA28","B2",2013,"1625133227","AUTOMOBILE",NA
"26",1,"S1","SAFA","NON VIE","non","oui",1995,"CA29","B2",2014,"-2639371317","AUTOMOBILE",NA
"27",1,"S1","SAFA","NON VIE","non","oui",1995,"CA30","B2",2015,"1695290254","AUTOMOBILE",NA
"28",1,"S1","SAFA","NON VIE","non","oui",1995,"CA31","B2",2016,"1605508295","AUTOMOBILE",NA
"29",1,"S1","SAFA","NON VIE","non","oui",1995,"CA35","B3",2003,"27914923","INCENDIE & AD",NA
"30",1,"S1","SAFA","NON VIE","non","oui",1995,"CA36","B3",2004,"43509508","INCENDIE & AD",NA
"31",1,"S1","SAFA","NON VIE","non","oui",1995,"CA37","B3",2005,"70792237","INCENDIE & AD",-89235729
"32",1,"S1","SAFA","NON VIE","non","oui",1995,"CA38","B3",2006,"40959178","INCENDIE & AD",NA
"33",1,"S1","SAFA","NON VIE","non","oui",1995,"CA39","B3",2007,"58277916","INCENDIE & AD",-6279532
"34",1,"S1","SAFA","NON VIE","non","oui",1995,"CA40","B3",2008,"68024761","INCENDIE & AD",68024761
"35",1,"S1","SAFA","NON VIE","non","oui",1995,"CA41","B3",2009,"42050410","INCENDIE & AD",NA
"36",1,"S1","SAFA","NON VIE","non","oui",1995,"CA42","B3",2010,"50538506","INCENDIE & AD",NA
"37",1,"S1","SAFA","NON VIE","non","oui",1995,"CA43","B3",2011,"46265735","INCENDIE & AD",-2823773
"38",1,"S1","SAFA","NON VIE","non","oui",1995,"CA44","B3",2012,"176204674","INCENDIE & AD",NA
"39",1,"S1","SAFA","NON VIE","non","oui",1995,"CA45","B3",2013,"249049288","INCENDIE & AD",NA
"40",1,"S1","SAFA","NON VIE","non","oui",1995,"CA46","B3",2014,"-164045978","INCENDIE & AD",NA
"41",1,"S1","SAFA","NON VIE","non","oui",1995,"CA47","B3",2015,"113062852","INCENDIE & AD",NA
"42",1,"S1","SAFA","NON VIE","non","oui",1995,"CA48","B3",2016,"244080450","INCENDIE & AD",NA
"43",1,"S1","SAFA","NON VIE","non","oui",1995,"CA52","B4",2003,"32208830","RESPONSABILITE CIVILE GENERALE",NA
"44",1,"S1","SAFA","NON VIE","non","oui",1995,"CA53","B4",2004,"33512464","RESPONSABILITE CIVILE GENERALE",0
"45",1,"S1","SAFA","NON VIE","non","oui",1995,"CA54","B4",2005,"33194244","RESPONSABILITE CIVILE GENERALE",NA
"46",1,"S1","SAFA","NON VIE","non","oui",1995,"CA55","B4",2006,"44154997","RESPONSABILITE CIVILE GENERALE",NA
"47",1,"S1","SAFA","NON VIE","non","oui",1995,"CA56","B4",2007,"33497115","RESPONSABILITE CIVILE GENERALE",-614384
"48",1,"S1","SAFA","NON VIE","non","oui",1995,"CA57","B4",2008,"35347996","RESPONSABILITE CIVILE GENERALE",35347996
"49",1,"S1","SAFA","NON VIE","non","oui",1995,"CA58","B4",2009,"29218876","RESPONSABILITE CIVILE GENERALE",NA
"50",1,"S1","SAFA","NON VIE","non","oui",1995,"CA59","B4",2010,"33885597","RESPONSABILITE CIVILE GENERALE",NA
"51",1,"S1","SAFA","NON VIE","non","oui",1995,"CA60","B4",2011,"33489024","RESPONSABILITE CIVILE GENERALE",NA
"52",1,"S1","SAFA","NON VIE","non","oui",1995,"CA61","B4",2012,"98579317","RESPONSABILITE CIVILE GENERALE",-1224300
"53",1,"S1","SAFA","NON VIE","non","oui",1995,"CA62","B4",2013,"96912573","RESPONSABILITE CIVILE GENERALE",NA
"54",1,"S1","SAFA","NON VIE","non","oui",1995,"CA63","B4",2014,"-172185690","RESPONSABILITE CIVILE GENERALE",NA
"55",1,"S1","SAFA","NON VIE","non","oui",1995,"CA64","B4",2015,"113669868","RESPONSABILITE CIVILE GENERALE",NA
"56",1,"S1","SAFA","NON VIE","non","oui",1995,"CA65","B4",2016,"176233177","RESPONSABILITE CIVILE GENERALE",NA
"57",1,"S1","SAFA","NON VIE","non","oui",1995,"CA69","B5",1996,"27693000","TRANSPORTS",0
"58",1,"S1","SAFA","NON VIE","non","oui",1995,"CA70","B5",1997,"30692000","TRANSPORTS",0
"59",1,"S1","SAFA","NON VIE","non","oui",1995,"CA71","B5",1998,"7683000","TRANSPORTS",0
"60",1,"S1","SAFA","NON VIE","non","oui",1995,"CA72","B5",1999,"6733000","TRANSPORTS",0
"61",1,"S1","SAFA","NON VIE","non","oui",1995,"CA73","B5",2000,"35321000","TRANSPORTS",0
"62",1,"S1","SAFA","NON VIE","non","oui",1995,"CA74","B5",2001,"24029000","TRANSPORTS",0
"63",1,"S1","SAFA","NON VIE","non","oui",1995,"CA75","B5",2002,"21508000","TRANSPORTS",0
"64",1,"S1","SAFA","NON VIE","non","oui",1995,"CA76","B5",2003,"25381790","TRANSPORTS",NA
"65",1,"S1","SAFA","NON VIE","non","oui",1995,"CA77","B5",2004,"16475462","TRANSPORTS",19307617
"66",1,"S1","SAFA","NON VIE","non","oui",1995,"CA78","B5",2005,"7342286","TRANSPORTS",17119230
"67",1,"S1","SAFA","NON VIE","non","oui",1995,"CA79","B5",2006,"12468230","TRANSPORTS",13382244
"68",1,"S1","SAFA","NON VIE","non","oui",1995,"CA80","B5",2007,"28598116","TRANSPORTS",-4107876
"69",1,"S1","SAFA","NON VIE","non","oui",1995,"CA81","B5",2008,"7306341","TRANSPORTS",7306341
"70",1,"S1","SAFA","NON VIE","non","oui",1995,"CA82","B5",2009,"25296562","TRANSPORTS",NA
"71",1,"S1","SAFA","NON VIE","non","oui",1995,"CA83","B5",2010,"13827001","TRANSPORTS",NA
"72",1,"S1","SAFA","NON VIE","non","oui",1995,"CA84","B5",2011,"16317374","TRANSPORTS",NA
"73",1,"S1","SAFA","NON VIE","non","oui",1995,"CA85","B5",2012,"63336511","TRANSPORTS",NA
"74",1,"S1","SAFA","NON VIE","non","oui",1995,"CA86","B5",2013,"53936792","TRANSPORTS",NA
"75",1,"S1","SAFA","NON VIE","non","oui",1995,"CA87","B5",2014,"-75239885","TRANSPORTS",NA
"76",1,"S1","SAFA","NON VIE","non","oui",1995,"CA88","B5",2015,"18916997","TRANSPORTS",NA
"77",1,"S1","SAFA","NON VIE","non","oui",1995,"CA89","B5",2016,"94333322","TRANSPORTS",NA
"78",2,"S1","2ACI, ex SAFA","NON VIE","non","non",2017,"CA15","B1",2017,"784190568","ACCIDENTS CORPORELS",NA
